Unique_ID,Extract_Date,Age_Of_Account,Num_Periods_Since_1st_Statement,Type_Of_Application,Days_Since_Most_Recent_Order,Num_Orders_L4_6P,Ave_Item_Value_L13P,Num_Items_Ordered_L13P,Ave_Num_Items_Per_Order_L4_6P,Value_Last_Payment,Num_Payments_CTD,Days_Since_Most_Recent_Payment,Num_Payments_To_Date,Num_Payments_L4_6P,Value_Payments_L3P,Value_Payments_L4_6P,Ave_Payment_Value_L4_6P,Ave_Payment_Value_L13P,Ave_Pmnt_Over_Bal_L13P_Perc,Ave_Current_Balance_L4_6P,Current_Bal_Over_Ave_Bal_L4_6P,Curr_Bal_Over_Highest_Bal_L4_6P,Current_Arrears_Amount,Num_1_Missed_Payment_L4_6P,Num_2_Or_More_Missed_Pmnts_L4_6P,Value_HR_Orders_Perc_Orders_L13P,Num_Account_Reviews_L13P,Ave_Order_Value_L13P,Num_Active_Accs_Not_In_Arrears,Bureau_Index_Retail,WS_L6M_Accs_Open_More_Than_12M,Num_Inactive_Accs_Sole_Joint,Good_Bad_Flag,Random_Number
34,20100318,114,134,U,110,1,42,6,6,50,0,110,92,2,0,132,66,80,5,783,131,120,204,2,0,0,13,255,-2,40,N,0,B,0.444865503
35,20090917,107,128,U,1639,0,0,0,0,20,0,131,86,1,0,20,20,60,12,151,142,133,44,2,0,0,13,0,11,60,2,6,G,0.106680109
36,20100318,141,134,U,203,0,26,5,0,35,1,15,97,0,66,0,0,27,7,277,94,85,0,1,2,0,13,128,8,70,3,2,G,0.94371603
37,20090917,130,128,U,1389,0,0,0,0,25,1,22,95,1,107,26,26,28,7,445,96,90,0,1,1,0,12,0,4,55,2,9,I,0.534657279
38,20090917,235,128,U,590,0,0,0,0,20,1,15,52,1,20,40,40,31,4,249,126,112,0,1,1,0,13,0,8,70,3,9,G,0.216304789
39,20100318,113,134,U,114,2,134,10,4,0,0,185,34,0,0,0,0,31,3,83,226,137,41,1,0,2,10,335,2,15,6,7,B,0.53077122
40,20100318,127,134,U,997,0,0,0,0,48,1,19,64,1,48,73,73,67,5,404,110,102,0,1,1,0,13,0,1,50,1,5,I,0.515459694
41,20091203,137,130,U,330,0,125,2,0,70,0,36,45,2,70,47,23,36,18,472,115,109,59,1,1,0,13,125,2,65,3,9,I,0.646572478
42,20091203,137,130,U,1321,0,0,0,0,50,2,14,58,1,200,144,144,99,31,563,83,78,0,1,1,0,13,0,6,80,0,7,G,0.124891858
43,20090917,178,128,U,197,0,12,7,0,15,2,1,52,1,55,13,13,23,10,99,103,83,0,1,1,0,7,81,2,30,6,9,G,0.360642832
44,20100318,113,134,U,611,0,0,0,0,27,1,15,61,4,80,104,26,21,5,561,87,82,0,0,3,0,12,0,-2,50,N,0,I,0.133559284
45,20091203,181,130,U,999999,0,0,0,0,62,1,12,66,3,186,186,62,58,24,526,63,58,0,0,3,0,13,0,1,90,0,5,G,0.52690199
46,20100318,153,134,U,936,0,0,0,0,50,0,44,82,2,110,80,40,43,6,593,90,89,40,0,3,0,12,0,4,85,0,8,G,0.731813108
47,20100318,113,134,U,103,4,27,7,2,10,0,114,10,1,0,10,10,10,2,60,250,158,40,1,0,0,6,47,1,20,0,1,I,0.708734798
48,20090917,120,128,U,341,0,11,30,0,42,1,1,49,1,84,42,42,38,5,555,92,89,0,0,3,0,12,159,5,20,6,5,I,0.184394704
49,20100318,113,134,U,1503,0,0,0,0,60,1,21,62,3,120,180,60,66,8,738,87,82,60,0,3,0,13,0,8,15,2,5,G,0.260554383
50,20091203,109,130,U,835,0,0,0,0,40,0,42,51,2,80,80,40,52,26,241,71,66,80,0,3,0,13,0,5,95,1,9,G,0.702595939
51,20100318,141,134,U,201,0,17,7,0,20,0,117,12,2,0,30,15,11,10,36,255,207,40,1,0,0,8,117,5,30,4,9,B,0.315135888
52,20091203,146,130,U,362,0,7,8,0,50,1,15,30,1,50,50,50,44,32,283,115,103,0,1,1,0,13,57,5,85,3,8,G,0.6833429
53,20091203,201,130,U,1101,0,0,0,0,40,1,9,101,4,120,107,27,28,8,758,93,93,0,0,3,0,13,0,-2,40,N,0,I,0.292813745
54,20090917,317,128,U,257,0,16,8,0,20,1,16,59,1,40,30,30,23,14,90,56,52,0,0,3,0,9,66,2,50,0,5,G,0.292671509
55,20100318,112,134,U,108,3,54,8,3,0,0,100,23,0,0,0,0,0,0,100,281,128,54,1,0,17,5,145,2,-2,3,9,I,0.660681927
56,20090917,146,128,U,546,0,0,0,0,50,1,7,62,1,150,50,50,52,10,399,62,57,0,0,3,0,13,0,2,35,1,6,G,0.032575009
57,20100318,123,134,U,294,0,46,3,0,10,0,152,55,1,0,10,10,14,6,90,156,123,40,1,1,0,10,137,6,60,5,8,G,0.098104324
58,20091203,120,130,U,367,0,19,4,0,30,1,16,31,0,100,0,0,37,38,250,80,71,0,1,2,0,13,77,0,55,0,8,G,0.041272715
59,20090917,158,128,U,141,1,49,13,1,64,2,10,76,1,164,17,17,49,7,499,98,84,0,1,1,12,13,90,5,55,1,2,G,0.455466163
60,20100318,140,134,U,117,3,38,9,3,212,0,575,19,0,0,0,0,0,0,101,258,128,51,1,0,24,5,113,9,70,U,9,B,0.658261753
61,20090917,120,128,U,939,0,0,0,0,20,0,33,85,2,60,86,43,37,6,236,161,103,28,1,0,0,12,0,3,65,2,0,G,0.21280243
62,20091203,109,130,U,297,0,25,1,0,45,1,15,70,2,95,60,30,31,17,424,93,91,0,0,3,0,13,25,7,65,2,8,G,0.507758956
63,20100318,136,134,U,94,6,32,14,2,0,0,106,21,0,0,0,0,0,0,110,334,125,68,1,0,25,5,74,2,15,1,4,G,0.972247744
64,20091203,201,130,U,289,0,20,3,0,30,0,31,71,1,30,30,30,40,14,537,111,107,102,2,1,0,13,30,8,70,1,9,I,0.285627817
65,20091203,160,130,U,334,0,15,1,0,40,2,0,18,2,120,210,105,43,22,370,50,44,0,0,3,0,13,15,2,55,0,5,I,0.247563291
66,20090917,117,128,U,724,0,0,0,0,100,0,40,93,1,100,70,70,53,7,645,106,102,61,1,2,0,13,0,1,0,3,9,I,0.520651112
67,20091203,120,130,U,801,0,0,0,0,50,1,5,96,2,160,170,85,54,17,667,84,80,0,0,3,0,13,0,2,5,2,9,G,0.081795324
68,20091203,120,130,U,1104,0,0,0,0,50,1,12,42,2,375,150,75,86,26,650,52,50,0,0,3,0,13,0,4,55,1,9,G,0.619997566
69,20100318,127,134,U,495,0,0,0,0,25,1,12,98,1,70,20,20,22,6,336,95,91,0,1,2,0,12,0,1,25,1,0,G,0.63971535
70,20090917,304,128,U,110,1,11,11,11,47,0,127,82,1,0,47,47,52,5,431,141,121,121,2,0,0,13,121,4,85,0,6,G,0.040559587
71,20090917,106,128,U,287,0,25,25,0,60,0,40,41,1,60,70,70,65,5,769,101,97,54,1,2,0,12,208,2,40,2,1,I,0.042200974
72,20091203,108,130,U,418,0,0,0,0,50,1,19,54,0,130,0,0,68,32,478,92,86,0,1,2,0,13,0,8,30,2,4,G,0.726363452
73,20100318,112,134,U,133,1,26,15,7,22,0,133,14,1,0,22,22,22,2,145,176,138,49,2,0,5,8,192,1,30,0,5,B,0.875903712
74,20091203,132,130,U,721,0,0,0,0,10,1,23,79,2,10,70,35,26,22,252,119,105,53,1,1,0,13,0,2,40,6,9,I,0.380871367
75,20100318,164,134,U,1372,0,0,0,0,30,1,15,52,1,146,37,37,59,6,655,88,86,0,1,2,0,12,0,4,70,2,9,I,0.214824037
76,20090917,106,128,U,673,0,0,0,0,100,0,29,75,2,220,200,100,112,5,1903,98,97,128,0,3,0,13,0,1,50,1,0,I,0.904619704
77,20091203,136,130,U,408,0,0,0,0,25,2,10,31,1,45,65,65,36,36,299,110,100,0,1,1,0,11,0,3,50,1,5,I,0.109447873
78,20100318,152,134,U,131,2,26,12,6,20,0,136,56,1,0,20,20,15,5,222,158,122,72,2,0,0,13,158,4,15,6,9,I,0.333882017
79,20100318,112,134,U,1188,0,0,0,0,20,1,7,75,2,80,40,20,23,9,209,69,67,0,0,3,0,12,0,7,90,0,7,G,0.966445559
80,20091203,136,130,U,152,1,33,12,4,25,0,163,57,1,0,25,25,26,12,479,123,109,121,1,1,0,12,99,1,25,0,6,E,0.53931293
81,20090917,145,128,U,288,0,10,15,0,100,0,37,121,1,280,100,100,82,7,916,144,95,102,0,2,38,12,78,-2,30,N,0,G,0.781856278
82,20100318,112,134,U,306,0,175,1,0,30,0,47,44,4,60,125,31,27,6,520,94,91,30,0,3,0,13,175,10,55,2,9,G,0.483995823
83,20100318,127,134,U,117,1,13,5,5,20,0,120,86,2,0,30,15,12,6,167,145,129,48,2,0,0,13,64,1,45,4,6,B,0.539336806
84,20100318,240,134,U,472,0,0,0,0,80,1,15,52,2,240,160,80,86,9,881,78,75,80,0,3,0,13,0,2,80,1,5,G,0.182736195
85,20100318,112,134,U,205,0,51,8,0,100,1,12,81,0,150,0,0,54,8,409,79,74,0,1,2,0,13,137,5,55,1,9,G,0.872624687
86,20090917,117,128,U,306,0,6,23,0,30,1,16,44,1,90,30,30,24,16,91,44,27,0,0,2,0,12,65,9,55,2,9,G,0.331158619
87,20090917,117,128,U,1755,0,0,0,0,44,0,40,69,2,44,119,60,44,5,710,112,110,132,0,3,0,13,0,6,50,6,4,G,0.07008194
88,20091203,108,130,U,1478,0,0,0,0,27,0,121,57,3,0,78,26,36,26,252,124,113,64,2,0,0,13,0,3,20,3,9,G,0.279997026
89,20100318,136,134,U,833,0,0,0,0,26,1,12,26,3,78,78,26,25,6,297,76,71,0,0,3,0,13,0,9,70,1,4,G,0.119435105
90,20090917,130,128,U,677,0,0,0,0,60,1,8,55,3,180,180,60,59,6,886,84,81,0,0,3,0,13,0,4,30,3,6,B,0.698247658
91,20100318,180,134,U,474,0,0,0,0,100,1,26,72,2,300,200,100,99,7,1210,83,81,100,0,3,0,13,0,1,40,1,1,G,0.178009424
92,20091203,201,130,U,469,0,0,0,0,52,0,50,48,1,52,50,50,44,24,439,123,112,90,1,1,0,13,0,5,45,3,8,G,0.158746842
93,20100318,180,134,U,1710,0,0,0,0,40,1,14,51,3,120,120,40,44,10,348,64,59,0,0,3,0,13,0,5,80,U,5,G,0.698481336
94,20100318,127,134,U,919,0,0,0,0,100,1,19,67,1,100,42,42,47,8,390,95,92,0,1,2,0,13,0,1,85,1,4,G,0.279760108
95,20100318,140,134,U,290,0,160,1,0,20,4,0,63,2,140,80,40,37,6,863,93,91,0,0,3,0,13,160,5,55,2,2,I,0.0481236
96,20090917,168,128,U,254,0,31,5,0,62,0,115,65,2,0,126,63,66,5,1042,119,112,268,1,0,19,13,77,4,70,1,9,I,0.931587399
97,20091203,119,130,U,327,0,48,2,0,20,1,8,25,6,90,120,20,22,17,254,59,52,30,0,3,0,13,96,4,55,1,9,G,0.967381591
98,20091203,132,130,U,684,0,0,0,0,10,1,24,98,3,20,30,10,10,12,153,89,86,20,0,3,0,13,0,4,35,0,7,G,0.575350829
99,20090917,173,128,U,964,0,0,0,0,100,0,117,47,1,0,100,100,57,9,147,123,89,41,1,1,0,13,0,2,55,2,9,B,0.660517317
100,20091203,294,130,U,393,0,0,0,0,20,2,0,88,3,100,120,40,29,9,508,84,80,0,0,3,0,13,0,-2,25,N,0,I,0.319030616
101,20100318,123,134,U,1564,0,0,0,0,19,2,17,91,1,69,40,40,34,11,141,87,75,0,1,1,0,13,0,-2,25,N,2,G,0.647387802
102,20100318,233,134,U,213,0,18,7,0,100,2,30,110,2,200,113,56,65,7,1004,93,89,49,1,1,0,11,128,1,30,3,0,I,0.348543049
103,20090917,226,128,U,157,1,99,6,1,50,0,70,55,1,50,61,61,29,5,591,106,103,81,1,2,73,13,99,5,25,5,9,I,0.812521504
104,20090917,105,128,U,1097,0,0,0,0,20,1,19,69,1,50,20,20,14,14,91,95,77,0,1,1,0,13,0,4,65,3,6,G,0.911793902
105,20091203,158,130,U,792,0,0,0,0,65,1,22,104,3,130,195,65,63,12,955,91,87,0,0,3,0,13,0,6,55,1,5,G,0.577497134
106,20091203,115,130,U,385,0,0,0,0,5,0,99,11,0,5,0,0,18,43,70,194,117,35,1,1,0,12,0,1,25,0,7,G,0.998988149
107,20100318,123,134,U,668,0,0,0,0,100,1,15,88,1,300,100,100,100,4,2549,100,97,0,0,3,0,13,0,1,90,1,8,G,0.543306241
108,20090917,133,128,U,80,0,33,3,0,0,0,58,52,1,0,31,31,24,5,271,158,150,79,2,0,45,13,100,2,0,2,5,B,0.246745363
109,20100318,112,134,U,117,2,55,11,4,20,0,108,121,5,0,57,11,10,9,281,211,122,92,0,0,80,13,202,3,55,4,9,B,0.171272046
110,20091203,158,130,U,1092,0,0,0,0,30,0,30,64,1,54,20,20,26,27,150,130,86,0,0,2,0,12,0,3,60,0,4,G,0.863907446
111,20091203,148,130,U,184,0,41,8,0,55,0,128,44,1,0,55,55,43,65,215,188,120,85,1,0,74,9,164,4,25,3,9,G,0.424067604
112,20100318,123,134,U,126,1,103,3,3,0,0,117,3,0,0,0,0,0,0,58,251,148,40,1,0,0,5,310,3,80,0,9,B,0.291293906
113,20090917,105,128,U,320,0,14,12,0,50,1,19,64,1,100,50,50,52,5,814,96,93,0,0,3,36,13,164,6,65,3,9,I,0.093371699
114,20090917,156,128,U,296,0,22,35,0,30,0,45,93,1,30,40,40,41,5,465,128,117,104,1,2,15,12,383,4,30,3,3,B,0.977967067
115,20091203,132,130,U,180,0,19,4,0,100,0,63,68,1,100,50,50,66,14,693,153,101,153,0,2,0,12,76,2,25,3,7,I,0.867455715
116,20091203,115,130,U,376,0,44,6,0,10,1,15,41,3,20,40,13,14,29,75,61,53,0,0,3,0,13,132,14,75,1,9,G,0.276763766
117,20100318,218,134,U,497,0,0,0,0,23,1,16,57,3,69,69,23,25,6,404,89,86,0,0,3,0,13,0,3,40,0,9,I,0.821159331
118,20100318,123,134,U,121,1,122,4,4,190,0,612,33,0,0,0,0,0,0,342,180,116,132,1,0,100,5,490,0,20,6,3,B,0.93230232
119,20090917,117,128,U,548,0,0,0,0,50,0,126,82,1,0,50,50,43,6,203,138,126,54,1,1,0,12,0,3,35,0,9,G,0.486540595
120,20090917,143,128,U,290,0,145,1,0,20,0,75,53,1,20,20,20,25,15,90,143,129,20,2,0,100,13,145,3,45,0,6,G,0.348804387
121,20100318,112,134,U,512,0,0,0,0,50,1,21,33,1,150,70,70,62,7,483,69,66,0,0,3,0,13,0,-2,25,N,5,G,0.320994479
122,20091203,108,130,U,581,0,0,0,0,25,1,5,37,3,75,75,25,27,13,402,86,83,0,0,3,0,13,0,7,75,2,9,B,0.130702904
123,20100318,112,134,U,154,2,16,22,7,21,0,119,18,2,0,31,16,16,2,214,150,132,62,2,0,0,7,115,1,10,6,9,B,0.574736293
124,20091203,228,130,U,261,0,19,29,0,74,0,119,39,2,0,148,74,94,12,1781,122,118,456,1,1,17,13,80,2,55,2,2,I,0.447347706
125,20091203,136,130,U,376,0,0,0,0,65,1,35,87,1,122,57,57,47,27,499,103,95,34,1,1,0,11,0,5,25,6,7,G,0.420453547
126,20091203,175,130,U,386,0,0,0,0,70,2,12,79,3,210,210,70,78,15,979,83,79,0,0,3,0,13,0,7,65,3,4,I,0.111695851
127,20090917,157,128,U,486,0,0,0,0,25,1,8,84,4,75,91,23,27,6,442,90,89,0,0,3,0,13,0,6,65,1,9,I,0.399847801
128,20091203,132,130,U,639,0,0,0,0,10,3,7,111,3,90,50,17,14,7,493,90,89,20,0,3,0,13,0,2,40,2,7,I,0.360896448
129,20091203,108,130,U,836,0,0,0,0,25,2,15,93,2,51,24,12,13,14,205,85,84,0,0,3,0,12,0,-2,55,1,0,I,0.777662039
130,20090917,197,128,U,390,0,0,0,0,150,1,10,45,2,600,250,125,170,8,1525,72,69,0,0,3,0,13,0,2,70,0,8,G,0.704816782
131,20090917,116,128,U,1465,0,0,0,0,35,0,119,86,2,0,68,34,27,4,283,126,122,73,1,1,0,13,0,8,40,4,5,G,0.242232999
132,20091203,115,130,U,427,0,0,0,0,40,2,16,111,3,120,105,35,31,10,699,88,85,0,0,3,0,12,0,24,55,3,9,I,0.068155367
133,20100318,126,134,U,525,0,0,0,0,60,1,17,70,3,85,80,27,29,6,516,103,101,0,0,3,0,13,0,3,70,2,5,G,0.969198416
134,20091203,132,130,U,320,0,30,3,0,20,0,159,20,2,0,30,15,18,51,39,220,141,40,1,1,0,12,90,5,65,2,9,G,0.537768633
135,20091203,132,130,U,700,0,0,0,0,30,1,15,59,1,90,23,23,33,19,430,93,88,0,0,3,0,13,0,3,25,3,5,I,0.793501703
136,20090917,129,128,U,747,0,0,0,0,200,0,131,67,1,0,200,200,95,9,215,98,59,43,1,1,0,13,0,3,0,2,9,G,0.831668821
137,20090917,265,128,U,931,0,0,0,0,20,0,36,99,3,40,60,20,25,5,345,94,91,20,0,3,0,13,0,12,25,2,9,I,0.40218878
138,20100318,123,134,U,362,0,40,1,0,20,0,124,28,1,0,20,20,20,12,54,208,179,40,2,0,0,13,40,6,20,2,1,G,0.966344527
139,20090917,225,128,U,299,0,15,11,0,175,1,15,91,2,520,270,135,130,6,1654,74,72,20,0,3,24,13,33,4,35,2,9,I,0.320314054
140,20090917,145,128,U,199,0,17,18,0,85,0,45,53,2,85,94,47,42,5,545,108,99,52,1,1,62,13,100,4,40,U,9,G,0.45375375
141,20100318,126,134,U,464,0,0,0,0,50,1,12,70,2,200,150,75,60,7,466,116,75,0,0,2,0,12,0,7,55,0,4,G,0.003249454
142,20090917,165,128,U,322,0,57,2,0,10,2,0,80,4,90,65,16,21,4,863,99,98,0,0,3,0,13,115,4,45,3,5,I,0.371641337
143,20090917,105,128,U,1426,0,0,0,0,25,1,12,51,3,75,210,70,70,9,489,81,73,0,0,3,0,13,0,4,25,1,6,I,0.601032105
144,20100318,171,134,U,147,1,100,1,1,10,0,70,103,3,10,44,15,18,4,274,132,118,65,1,0,0,13,100,1,15,2,7,I,0.581713086
145,20091203,174,130,U,176,3,35,34,3,40,1,29,49,1,40,81,81,59,25,748,107,99,142,2,0,0,12,117,6,40,2,7,I,0.397835424
146,20091203,174,130,U,401,0,0,0,0,30,2,14,89,2,180,97,49,48,14,570,72,69,0,0,3,0,13,0,5,65,1,7,G,0.107132143
147,20091203,213,130,U,99,2,34,16,3,10,0,119,55,2,0,41,21,13,38,196,189,123,70,1,0,20,13,79,8,30,4,9,G,0.768894831
148,20090917,133,128,U,999999,0,0,0,0,50,1,15,73,0,50,0,0,28,6,157,150,95,0,1,1,0,12,0,2,60,2,9,G,0.574133579
149,20091203,122,130,U,309,0,21,17,0,65,1,8,75,1,195,54,54,64,15,1018,93,90,0,0,3,8,13,60,11,0,2,7,I,0.063900739
150,20100318,111,134,U,150,1,24,16,12,100,1,17,47,1,266,50,50,63,8,543,133,79,0,0,2,49,12,130,3,40,3,2,G,0.134189428
151,20091203,174,130,U,218,0,52,11,0,46,0,73,23,1,46,35,35,28,35,398,115,107,77,1,1,6,13,114,5,-2,2,9,G,0.315486897
152,20100318,139,134,U,355,0,35,2,0,24,1,16,85,2,29,31,16,15,7,197,125,118,24,2,0,0,13,70,1,15,2,9,B,0.063961371
153,20100318,126,134,U,96,2,16,14,7,20,1,21,105,3,20,140,47,40,4,767,128,118,176,3,0,15,13,115,3,0,2,3,I,0.555518251
154,20100318,111,134,U,128,3,59,14,5,20,0,114,13,1,0,20,20,20,2,111,307,127,54,0,0,0,5,275,1,15,5,9,E,0.656885682
155,20100318,217,134,U,380,0,0,0,0,40,0,43,76,1,40,40,40,28,6,284,99,94,0,0,3,0,13,0,-2,50,1,7,I,0.987384347
156,20100318,149,134,U,885,0,0,0,0,48,0,114,56,1,0,48,48,37,4,405,121,117,103,2,0,0,13,0,11,25,2,9,G,0.07493679
157,20090917,248,128,U,306,0,38,9,0,70,0,35,65,2,70,200,100,77,10,315,108,99,29,1,1,12,13,170,1,5,2,8,G,0.763741863
158,20091203,119,130,U,316,0,20,10,0,20,1,14,37,0,60,0,0,15,39,118,110,72,0,0,2,25,12,101,7,95,0,9,E,0.683263511
159,20091203,108,130,U,157,1,41,18,3,60,1,16,48,1,278,120,120,105,17,1212,94,88,0,1,1,70,13,186,2,80,1,9,I,0.764135059
160,20100318,231,134,U,196,0,7,10,0,20,0,113,81,1,0,20,20,20,4,72,174,156,40,2,0,8,7,71,3,15,6,9,G,0.747895013
161,20100318,123,134,U,1312,0,0,0,0,10,1,40,57,1,10,36,36,19,4,203,125,118,43,1,1,0,13,0,3,25,1,5,I,0.214033978
162,20091203,227,130,U,1195,0,0,0,0,35,0,44,64,1,35,15,15,19,27,158,137,116,21,1,1,0,13,0,2,90,1,9,G,0.19511935
163,20100318,204,134,U,680,0,0,0,0,30,2,0,108,1,100,30,30,35,6,488,89,88,70,0,3,0,13,0,2,60,1,5,I,0.761014283
164,20090917,112,128,U,1687,0,0,0,0,61,1,1,76,3,185,212,71,91,6,1048,89,86,0,0,3,0,13,0,1,30,2,2,I,0.823022889
165,20091203,251,130,U,530,0,0,0,0,50,1,14,75,3,150,150,50,63,17,437,124,81,0,0,2,0,11,0,8,40,4,7,G,0.108152608
166,20090917,129,128,U,1764,0,0,0,0,40,1,3,93,3,120,120,40,45,5,892,93,92,0,0,3,0,12,0,1,40,5,6,I,0.663205158
167,20100318,216,134,U,439,0,0,0,0,100,1,14,42,3,300,260,87,99,5,1403,83,80,0,0,3,0,13,0,2,40,1,9,I,0.028450331
168,20100318,177,134,U,999999,0,0,0,0,50,1,7,57,0,80,0,0,79,19,146,81,70,0,1,2,0,13,0,2,60,1,6,G,0.842642734
169,20091203,213,130,U,421,0,0,0,0,100,1,12,74,3,150,150,50,51,11,862,86,83,0,0,3,0,13,0,3,65,1,8,I,0.626424157
